CI5_continent,id_code,id_label,ethnic_code,country_code,registry_code
1,80000299,"Uganda, Kyadondo County",99,800,800002
2,3200799,"Argentina, Mendoza",99,32,32007
2,15200199,"Chile, Valdivia",99,152,152001
2,17000199,"Colombia, Cali",99,170,170001
2,17000299,"Colombia, Bucaramanga",99,170,170002
2,17000399,"Colombia, Manizales",99,170,170003
2,17000499,"Colombia, Pasto",99,170,170004
2,18800099,Costa Rica,99,188,188000
2,21800199,"Ecuador, Quito",99,218,218001
2,25009199,"France, Martinique",99,250,250091
2,63000099,Puerto Rico,99,630,630000
3,12400099,"Canada (Excl Nova Scotia, Northwest Territories, Nunavut, Quebec and Yukon)",99,124,124000
3,84000310,"USA, California, Los Angeles County: White",10,840,840003
3,84000320,"USA, California, Los Angeles County: Chinese",20,840,840003
3,84000322,"USA, California, Los Angeles County: Korean",22,840,840003
3,84000323,"USA, California, Los Angeles County: Filipino",23,840,840003
3,84000330,"USA, California, Los Angeles County: Black",30,840,840003
3,84000350,"USA, California, Los Angeles County: Hispanic White",50,840,840003
3,84000360,"USA, California, Los Angeles County: Non-Hispanic White",60,840,840003
3,84000399,"USA, California, Los Angeles (SEER)",99,840,840003
3,84002010,"USA, SEER (9 registries): White",10,840,840020
3,84002030,"USA, SEER (9 registries): Black",30,840,840020
3,84002099,"USA, SEER (9 registries)",99,840,840020
3,84008010,"USA, NPCR: White",10,840,840080
3,84008029,"USA, NPCR: Asian and Pacific Islander",29,840,840080
3,84008030,"USA, NPCR: Black",30,840,840080
3,84008099,"USA, NPCR (45 States and Washington DC)",99,840,840080
4,4800046,Bahrain: Bahraini,46,48,48000
4,15600199,"China, Beijing City",99,156,156001
4,15600299,"China, Qidong City",99,156,156002
4,15600399,"China, Shanghai City",99,156,156003
4,15600799,"China, Jiashan County",99,156,156007
4,15600999,"China, Wuhan City",99,156,156009
4,15601499,"China, Zhongshan City",99,156,156014
4,15601599,"China, Nangang District, Harbin City",99,156,156015
4,15601899,"China, Yanting County",99,156,156018
4,35600399,"India, Mumbai",99,356,356003
4,35600499,"India, Chennai",99,356,356004
4,35600799,"India, Barshi",99,356,356007
4,35601199,"India, Dindigul Ambilikkai",99,356,356011
4,37600090,Israel: All Jews,90,376,376000
4,37600099,Israel,99,376,376000
4,39200299,"Japan, Miyagi Prefecture",99,392,392002
4,39200499,"Japan, Osaka",99,392,392004
4,41000099,Republic of Korea,99,410,410000
4,41000299,"Republic of Korea, Busan",99,410,410002
4,41000399,"Republic of Korea, Seoul",99,410,410003
4,41000499,"Republic of Korea, Daegu",99,410,410004
4,41000599,"Republic of Korea, Daejeon",99,410,410005
4,41000899,"Republic of Korea, Ulsan",99,410,410008
4,41000999,"Republic of Korea, Jejudo",99,410,410009
4,41001099,"Republic of Korea, Gwangju",99,410,410010
4,41001199,"Republic of Korea, Incheon",99,410,410011
4,41400025,Kuwait: Kuwaiti,25,414,414000
4,60800299,"Philippines, Manila",99,608,608002
4,63400068,Qatar: Qatari,68,634,634000
4,76400199,"Thailand, Chiang Mai",99,764,764001
